Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Chowdeswari Ward,13.121709445639,77.58042209477,Nite Mart,13.12220576635758,77.57628993298533,Department Store
Atturu,13.1028048689685,77.560037759808,Axis Bank ATM,13.10235,77.56031,ATM
Atturu,13.1028048689685,77.560037759808,LG Brand Shop,13.102462,77.559921,Electronics Store
Yelahanka Satellite Town,13.0909866591769,77.5839254307448,Kanti Sweets,13.093498229269551,77.58242890586968,Dessert Shop
Yelahanka Satellite Town,13.0909866591769,77.5839254307448,Vishwa Bakery,13.089937,77.583161,Café
Yelahanka Satellite Town,13.0909866591769,77.5839254307448,Shri Shiva Tiffin Centre,13.09402084350586,77.58128356933594,Breakfast Spot
Yelahanka Satellite Town,13.0909866591769,77.5839254307448,Grub,13.0929275192841,77.58777934980351,Pizza Place
Vijnanapura,13.0060632642652,77.6695653043393,Axis Bank ATM,13.002539634705,77.66764831543,ATM
Basavanapura,13.016847032689,77.7154564678998,Milou Kids Wear,13.017598374825546,77.71983172537946,Kids Store
Hudi,13.022375521429,77.7054933252136,Purvi Restaurant,13.019402665249341,77.70734960125455,Indian Restaurant
Hudi,13.022375521429,77.7054933252136,Domino's Pizza,13.022,77.709,Pizza Place
Hudi,13.022375521429,77.7054933252136,Cafe Coffee Day,13.020087755467804,77.70907135674662,Café
Hudi,13.022375521429,77.7054933252136,bistro tokyo,13.025338759828246,77.70698547363281,Korean Restaurant
Devasandra,13.0017973536303,77.6891215903739,United Colors of Benetton,13.003178,77.688961,Clothing Store
Devasandra,13.0017973536303,77.6891215903739,Just Bake,13.004016876220703,77.68777465820312,Bakery
Devasandra,13.0017973536303,77.6891215903739,Benelli Whitefield,12.999994,77.68592,Motorcycle Shop
Devasandra,13.0017973536303,77.6891215903739,United Colors of Benetton,13.0049005,77.6920846,Clothing Store
A Narayanapura,12.9944744122469,77.6725826643836,MILTECH SIMULATORS INDIA PRIVATE LIMITED,12.993852961834985,77.67630100250244,Electronics Store
A Narayanapura,12.9944744122469,77.6725826643836,Tin Factory,12.996619261750476,77.66898893024967,Bus Station
A Narayanapura,12.9944744122469,77.6725826643836,Tin Factory Bus Stop,12.996921170948585,77.66917906078648,Bus Stop
A Narayanapura,12.9944744122469,77.6725826643836,Krishnarajapuram Fish Market,12.9978944454342,77.6749945990741,Fish Market
A Narayanapura,12.9944744122469,77.6725826643836,Pushpanjali Theater,12.998015206328951,77.67524409731054,Movie Theater
Vijnana Nagar,12.9784929770063,77.6817701253513,McDonald's,12.97675768853334,77.67914927701348,Fast Food Restaurant
Vijnana Nagar,12.9784929770063,77.6817701253513,Kaggadasapura,12.979404953950741,77.6794981956482,Neighborhood
Vijnana Nagar,12.9784929770063,77.6817701253513,New City Supermarket,12.981500726293229,77.68253212649032,Convenience Store
Vijnana Nagar,12.9784929770063,77.6817701253513,American Bite,12.977247494798101,77.67815397287937,American Restaurant
Vijnana Nagar,12.9784929770063,77.6817701253513,Madurai Idly Dosa Shop,12.975294229773157,77.67883131944868,Indian Restaurant
Kuvempu Nagar,13.0720798190444,77.5418693523628,Singapura Layout,13.07569741591855,77.540532648973,Outdoors & Recreation
Thanisandra,13.0565248615012,77.6224107410182,Ahalya Sports Arena,13.059601,77.62138,Soccer Field
Byatarayanapura,13.0610706104047,77.5973709782568,Sanjay Dhaba,13.058611505214355,77.59376660832271,Indian Restaurant
Byatarayanapura,13.0610706104047,77.5973709782568,Print Central,13.062902496794939,77.59633549220462,Print Shop
Byatarayanapura,13.0610706104047,77.5973709782568,Gupta Caterers,13.058639102708293,77.60115623474121,Restaurant
Ullalu,12.9467161449535,77.4846181877041,State Bank of India ATM,12.95046,77.48702,ATM
Kengeri,12.9150685525484,77.4775276168771,Cafe Coffee Day,12.915288335289906,77.48176574707031,Café
Kengeri,12.9150685525484,77.4775276168771,Robin Theatre,12.915958574219621,77.47914586947542,Movie Theater
Herohalli,12.9828072657752,77.4871585444258,Chickpet Donne Briyani House,12.984418,77.486119,Fried Chicken Joint
Herohalli,12.9828072657752,77.4871585444258,Govindaraju Catering Service,12.986284066833651,77.4891471862793,Restaurant
Jalahalli,13.046443698847,77.539338786534,Basketball Court HMT Road,13.0470247789474,77.54249768901639,Basketball Court
Jalahalli,13.046443698847,77.539338786534,Mathulla Stadium,13.047203438791886,77.54271602470114,Soccer Field
Rajarajeshwari Nagar,12.9187572603313,77.5221415116967,Kaapi Katte,12.916458034417012,77.52056681279288,Café
Rajarajeshwari Nagar,12.9187572603313,77.5221415116967,Cafe Coffee Day,12.920845861020364,77.520570258593,Café
Rajarajeshwari Nagar,12.9187572603313,77.5221415116967,Kanti Sweets,12.914869628690989,77.52076814881913,Bakery
Rajarajeshwari Nagar,12.9187572603313,77.5221415116967,Just Bake,12.917149931022454,77.52024764451502,Bakery
Rajarajeshwari Nagar,12.9187572603313,77.5221415116967,Sugarcane Express,12.916364286260771,77.52056121335711,Juice Bar
Rajarajeshwari Nagar,12.9187572603313,77.5221415116967,Kabbu,12.916316814908576,77.52058361109852,Juice Bar
Rajarajeshwari Nagar,12.9187572603313,77.5221415116967,Smart Supermarket,12.914333353172989,77.52231382331074,Department Store
J P Park,13.0366283169315,77.5524237413753,Jp park,13.038751321222442,77.5551380739094,Park
J P Park,13.0366283169315,77.5524237413753,Tiny Forks,13.037360191345215,77.54960632324219,Chinese Restaurant
J P Park,13.0366283169315,77.5524237413753,State Bank of India ATM,13.0339132,77.5500089,ATM
J P Park,13.0366283169315,77.5524237413753,Jayaprakash Narayan Park (Jayaprakash Narayana Park),13.032764652107012,77.5539905328487,Park
Yeshwanthpura,13.0260290008921,77.5538567686232,New Sagar Fast Food,13.0249927983798,77.5578641371019,Fast Food Restaurant
HMT Ward,13.0319047414786,77.5317054301638,Cafe Coffee Day,13.03380019886779,77.53108206734315,Coffee Shop
HMT Ward,13.0319047414786,77.5317054301638,McDonald's,13.033423149236361,77.53113789181491,Fast Food Restaurant
HMT Ward,13.0319047414786,77.5317054301638,Metro Peenya,13.032662,77.533424,Train Station
HMT Ward,13.0319047414786,77.5317054301638,Masala mantra,13.035397315892979,77.53348397799357,Indian Restaurant
HMT Ward,13.0319047414786,77.5317054301638,MORE Supermarket,13.034901224038745,77.53454214631073,Department Store
Lakshmi Devi Nagar,13.0206027348153,77.5324717737587,Udupi Ruchi Grand,13.022095,77.53348,Multicuisine Indian Restaurant
Lakshmi Devi Nagar,13.0206027348153,77.5324717737587,State Bank of India ATM,13.0214464,77.5327317,ATM
Laggere,13.0076873581854,77.5238999866999,State Bank of India ATM,13.0092029,77.5220058,ATM
Laggere,13.0076873581854,77.5238999866999,Axis Bank ATM,13.00625,77.52166,ATM
Laggere,13.0076873581854,77.5238999866999,Axis Bank ATM,13.007,77.52709,ATM
Laggere,13.0076873581854,77.5238999866999,State Bank of India ATM,13.0050823,77.5214706,ATM
Laggere,13.0076873581854,77.5238999866999,PHD (Pizza Hut Delivery),13.0068403920208,77.52785704462075,Pizza Place
Kottegepalya,12.9824564568696,77.5140904058987,Coffee Day Drive In,12.980420423569221,77.51039778399134,Café
Kottegepalya,12.9824564568696,77.5140904058987,Shubh Family Restaurant,12.980059623718262,77.51042175292969,Indian Restaurant
Kottegepalya,12.9824564568696,77.5140904058987,Durga Sri Grand,12.978024260819527,77.51487764416152,Breakfast Spot
Mallasandra,13.0544363601233,77.5151259164154,Axis Bank ATM,13.051727294922,77.513946533203,ATM
T Dasarahalli,13.045358023191,77.5147357511792,soundarya paradise,13.0459844204828,77.51588558844014,Indian Restaurant
T Dasarahalli,13.045358023191,77.5147357511792,Dasarahalli metro station,13.043328,77.512654,Metro Station
T Dasarahalli,13.045358023191,77.5147357511792,Agarwal Bhavan,13.042017,77.515492,Karnataka Restaurant
T Dasarahalli,13.045358023191,77.5147357511792,The Golden Palms Hotel & Spa,13.04172055499885,77.5140040852439,Resort
T Dasarahalli,13.045358023191,77.5147357511792,123 varieties of dosa,13.041823881062063,77.51592478609314,Indian Restaurant
T Dasarahalli,13.045358023191,77.5147357511792,Adyar Ananda Bhavan,13.043581,77.510625,Indian Sweet Shop
Peenya Industrial Area,13.0209017997376,77.5086112760292,Appaji Mane,13.022556,77.509753,Restaurant
Peenya Industrial Area,13.0209017997376,77.5086112760292,Fabricspa,13.02246,77.51218,Dry Cleaner
Rajagopal Nagar,13.0061996149424,77.5122492470683,State Bank of India ATM,13.0079735,77.5115681,ATM
Vrisabhavathi Nagar,12.9897724158581,77.5258790256208,Shlok @ Basaveshwar Nagar,12.989698183116714,77.52821538499235,Hotel
Vrisabhavathi Nagar,12.9897724158581,77.5258790256208,Axis Bank ATM,12.98729038,77.52684784,ATM
Vrisabhavathi Nagar,12.9897724158581,77.5258790256208,Sri veerabhadreshwara Steel Traders,12.986046708623645,77.52656365045685,Home Service
Nandini Layout,13.013449936266,77.5341416116112,Anand Sagar,13.012730951279897,77.5331704447496,Vegetarian / Vegan Restaurant
Nandini Layout,13.013449936266,77.5341416116112,Nandini Layout Central Park,13.011391891675443,77.53724071088132,Park
Nandini Layout,13.013449936266,77.5341416116112,Vijaynagar Eaters street,13.017497351488581,77.5340998443493,Diner
Nandini Layout,13.013449936266,77.5341416116112,Maarish Food Joint,13.017123222351074,77.5317153930664,Indian Restaurant
Marappana Palya,13.0174803547776,77.5462421542391,APMC Yard,13.021780191174267,77.54522965402538,Miscellaneous Shop
Marappana Palya,13.0174803547776,77.5462421542391,Lucky Break,13.017412149921018,77.54787399575068,Smoke Shop
Marappana Palya,13.0174803547776,77.5462421542391,Bangarpet Chats,13.013477638871429,77.54627651664502,Snack Place
Marappana Palya,13.0174803547776,77.5462421542391,Swimming Pool Mahalakshmi Layout,13.015598508777279,77.54252008243701,Pool
Nagapura,13.0041261575396,77.5481305165233,Aramane Veg,13.004322132166632,77.5492211158964,Fast Food Restaurant
Nagapura,13.0041261575396,77.5481305165233,19th main smokin adda,13.004081825582746,77.5496017809473,Food & Drink Shop
Nagapura,13.0041261575396,77.5481305165233,First Block Food Adda,13.004928307864574,77.54967455500285,Food Truck
Nagapura,13.0041261575396,77.5481305165233,New Sagar Fast Food,13.004091034161306,77.55071904005804,Vegetarian / Vegan Restaurant
Nagapura,13.0041261575396,77.5481305165233,Mahalakshmi Metro Station,13.007766287922427,77.54868930229088,Light Rail Station
Nagapura,13.0041261575396,77.5481305165233,Sree Ganesha Fruit Juice Centre,13.004007,77.551934,Juice Bar
Nagapura,13.0041261575396,77.5481305165233,Sri Mahalakhsmi Refreshments,13.008109461493904,77.54606938416522,Asian Restaurant
Mahalakshimpuram,13.0073496521638,77.540042587153,Baskin-Robbins,13.00547999632939,77.53946333940205,Ice Cream Shop
Mahalakshimpuram,13.0073496521638,77.540042587153,Just Bake,13.008985070191187,77.53927357100073,Bakery
Mahalakshimpuram,13.0073496521638,77.540042587153,Chapati Mane,13.007243415290079,77.53920014158571,Breakfast Spot
Mahalakshimpuram,13.0073496521638,77.540042587153,Perfect Davengere Benne Dosa,13.008733,77.54327,Indian Restaurant
Mahalakshimpuram,13.0073496521638,77.540042587153,Masala Puri Stall,13.010556490714427,77.5424640988738,Food Truck
Mahalakshimpuram,13.0073496521638,77.540042587153,Nilgiris,13.010557033289647,77.5424864923033,Bakery
Mahalakshimpuram,13.0073496521638,77.540042587153,Mahalaksmi Layout Park,13.0105671645428,77.5424640988738,Park
Mahalakshimpuram,13.0073496521638,77.540042587153,Mahalakshmi Layout Bus Stop,13.010560748786151,77.54249305588685,Bus Line
Shakthi Ganapathi Nagar,12.9950480331202,77.5315839709294,ibaco,12.998421930332052,77.53429580112672,Ice Cream Shop
Shankar Matt,12.9999842826119,77.5344077697553,Ram Bhavan Chats,13.000559236374249,77.53615457433654,Snack Place
Shankar Matt,12.9999842826119,77.5344077697553,Sambhav moorthy park,12.997490967394437,77.53785610198975,Park
Aramane Nagara,13.0153491711673,77.5770224615771,Nikki's Pub and Restaurant,13.014261970251829,77.57379378261672,Pub
Aramane Nagara,13.0153491711673,77.5770224615771,Nikki's Kabab Corner,13.01440976814205,77.57362587814941,Indian Restaurant
Aramane Nagara,13.0153491711673,77.5770224615771,Scotch Yard,13.014583326328488,77.57339640830791,Liquor Store
Aramane Nagara,13.0153491711673,77.5770224615771,Sheraton Bangalore Hotel,13.012433729732718,77.57936806950032,Hotel
Mattikere,13.0325895561164,77.5610338494586,Biriyani Paradise,13.030652439711085,77.5622161145674,Indian Restaurant
Mattikere,13.0325895561164,77.5610338494586,Cafe Coffee Day,13.031717399707885,77.55940591512328,Café
Mattikere,13.0325895561164,77.5610338494586,New Agarwal Bhavan,13.030533465479458,77.56019532061102,Diner
Mattikere,13.0325895561164,77.5610338494586,Ammi's Biryani,13.034207624434407,77.56067409669087,Indian Restaurant
Mattikere,13.0325895561164,77.5610338494586,Food Campus,13.031899310259977,77.55925793054259,American Restaurant
Mattikere,13.0325895561164,77.5610338494586,Polar Bear,13.034556320074296,77.56099874888841,Ice Cream Shop
Mattikere,13.0325895561164,77.5610338494586,New Bengal Sweets,13.032352573277473,77.55847987125644,Dessert Shop
Mattikere,13.0325895561164,77.5610338494586,Msrec Bus St,13.029881376224626,77.5617767908879,Bus Station
